Seconds,Battery Voltage (V),ON/OFF
Switchoff Voltage = 980mV
4420,5.61,1
4425,5.63,1
4430,5.63,1
4435,5.63,1
4440,5.63,1
4445,5.61,1
4450,5.63,1
4455,5.61,1
4460,5.63,1
4465,5.64,1
4470,5.64,1
4475,5.61,1
4480,5.64,1
4485,5.65,1
4490,5.63,1
4495,5.63,1
4500,5.65,1
4505,5.64,1
4510,5.63,1
4515,5.64,1
4520,5.63,1
4525,5.63,1
4530,5.62,1
4535,5.63,1
4540,5.63,1
4545,5.62,1
4550,5.63,1
4555,5.62,1
4560,5.61,1
4565,5.64,1
4570,5.63,1
4575,5.63,1
4580,5.64,1
4585,5.63,1
4590,5.63,1
4595,5.63,1
4600,5.63,1
4605,5.63,1
4610,5.62,1
4615,5.62,1
4620,5.62,1
4625,5.61,1
4630,5.63,1
4635,5.62,1
4640,5.62,1
4645,5.63,1
4650,5.63,1
4655,5.61,1
4660,5.63,1
4665,5.62,1
4670,5.61,1
4675,5.63,1
4680,5.6,1
4685,5.61,1
4690,5.62,1
4695,5.62,1
4700,5.63,1
4705,5.62,1
4710,5.62,1
4715,5.61,1
4720,5.62,1
4725,5.61,1
4730,5.64,1
4735,5.6,1
4740,5.61,1
4745,5.63,1
4750,5.61,1
4755,5.61,1
4760,5.61,1
4765,5.62,1
4770,5.61,1
4775,5.61,1
4780,5.61,1
4785,5.63,1
4790,5.62,1
4795,5.62,1
4800,5.62,1
4805,5.61,1
4810,5.6,1
4815,5.62,1
4820,5.63,1
4825,5.62,1
4830,5.62,1
4835,5.61,1
4840,5.62,1
4845,5.61,1
4850,5.61,1
4855,5.64,1
4860,5.64,1
4865,5.61,1
4870,5.62,1
4875,5.63,1
4880,5.62,1
4885,5.62,1
4890,5.62,1
4895,5.62,1
4900,5.63,1
4905,5.61,1
4910,5.61,1
4915,5.61,1
4920,5.63,1
4925,5.61,1
4930,5.61,1
4935,5.62,1
4940,5.61,1
4945,5.65,1
4950,5.64,1
4955,5.62,1
4960,5.61,1
4965,5.63,1
4970,5.62,1
4975,5.62,1
4980,5.62,1
4985,5.61,1
4990,5.61,1
4995,5.62,1
5000,5.62,1
5005,5.61,1
5010,5.61,1
5015,5.6,1
5020,5.61,1
5025,5.61,1
5030,5.61,1
5035,5.62,1
5040,5.61,1
5045,5.61,1
5050,5.61,1
5055,5.62,1
5060,5.64,1
5065,5.61,1
5070,5.61,1
5075,5.61,1
5080,5.62,1
5085,5.61,1
5090,5.62,1
5095,5.62,1
5100,5.63,1
5105,5.61,1
5110,5.6,1
5115,5.62,1
5120,5.62,1
5125,5.62,1
5130,5.62,1
5135,5.63,1
5140,5.62,1
5145,5.62,1
5150,5.62,1
5155,5.62,1
5160,5.63,1
5165,5.63,1
5170,5.6,1
5175,5.61,1
5180,5.62,1
5185,5.62,1
5190,5.62,1
5195,5.63,1
5200,5.61,1
5205,5.62,1
5210,5.61,1
5215,5.6,1
5220,5.61,1
5225,5.61,1
5230,5.63,1
5235,5.64,1
5240,5.63,1
5245,5.6,1
5250,5.63,1
5255,5.62,1
5260,5.61,1
5265,5.61,1
5270,5.61,1
5275,5.6,1
5280,5.61,1
5285,5.61,1
5290,5.62,1
5295,5.61,1
5300,5.6,1
5305,5.62,1
5310,5.6,1
5315,5.6,1
5320,5.59,1
5325,5.61,1
5330,5.61,1
5335,5.61,1
5340,5.59,1
5345,5.6,1
5350,5.62,1
5355,5.61,1
5360,5.58,1
5365,5.6,1
5370,5.61,1
5375,5.6,1
5380,5.61,1
5385,5.6,1
5390,5.61,1
5395,5.61,1
5400,5.6,1
5405,5.63,1
5410,5.59,1
5415,5.62,1
5420,5.63,1
5425,5.62,1
5430,5.6,1
5435,5.6,1
5440,5.61,1
5445,5.61,1
5450,5.6,1
5455,5.6,1
5460,5.61,1
5465,5.61,1
5470,5.6,1
5475,5.61,1
5480,5.6,1
5485,5.62,1
5490,5.6,1
5495,5.6,1
5500,5.6,1
5505,5.61,1
5510,5.62,1
5515,5.61,1
5520,5.6,1
5525,5.61,1
5530,5.6,1
5535,5.61,1
5540,5.61,1
5545,5.6,1
5550,5.61,1
5555,5.61,1
5560,5.61,1
5565,5.6,1
5570,5.63,1
5575,5.6,1
5580,5.63,1
5585,5.61,1
5590,5.61,1
5595,5.61,1
5600,5.62,1
5605,5.6,1
5610,5.6,1
5615,5.61,1
5620,5.61,1
5625,5.59,1
5630,5.6,1
5635,5.6,1
5640,5.61,1
5645,5.61,1
5650,5.61,1
5655,5.58,1
5660,5.59,1
5665,5.6,1
5670,5.61,1
5675,5.61,1
5680,5.6,1
5685,5.61,1
5690,5.6,1
5695,5.61,1
5700,5.61,1
5705,5.6,1
5710,5.6,1
5715,5.6,1
5720,5.6,1
5725,5.61,1
5730,5.61,1
5735,5.6,1
5740,5.62,1
5745,5.59,1
5750,5.6,1
5755,5.59,1
5760,5.6,1
5765,5.6,1
5770,5.6,1
5775,5.61,1
5780,5.61,1
5785,5.61,1
5790,5.6,1
5795,5.6,1
5800,5.6,1
5805,5.6,1
5810,5.59,1
5815,5.59,1
5820,5.6,1
5825,5.61,1
5830,5.61,1
5835,5.6,1
5840,5.61,1
5845,5.6,1
5850,5.59,1
5855,5.61,1
5860,5.6,1
5865,5.6,1
5870,5.58,1
5875,5.59,1
5880,5.61,1
5885,5.58,1
5890,5.59,1
5895,5.6,1
5900,5.6,1
5905,5.6,1
5910,5.61,1
5915,5.61,1
5920,5.6,1
5925,5.58,1
5930,5.61,1
5935,5.58,1
5940,5.59,1
5945,5.6,1
5950,5.6,1
5955,5.6,1
5960,5.59,1
5965,5.6,1
5970,5.6,1
5975,5.6,1
5980,5.57,1
5985,5.59,1
5990,5.6,1
5995,5.6,1
6000,5.59,1
6005,5.6,1
6010,5.6,1
6015,5.6,1
6020,5.59,1
6025,5.6,1
6030,5.59,1
6035,5.6,1
6040,5.59,1
6045,5.59,1
6050,5.61,1
6055,5.59,1
6060,5.6,1
6065,5.6,1
6070,5.6,1
6075,5.58,1
6080,5.61,1
6085,5.58,1
6090,5.61,1
6095,5.6,1
6100,5.59,1
6105,5.59,1
6110,5.61,1
6115,5.6,1
6120,5.6,1
6125,5.6,1
6130,5.58,1
6135,5.6,1
6140,5.6,1
6145,5.6,1
6150,5.6,1
6155,5.61,1
6160,5.6,1
6165,5.6,1
6170,5.6,1
6175,5.6,1
6180,5.6,1
6185,5.59,1
6190,5.59,1
6195,5.6,1
6200,5.6,1
6205,5.6,1
6210,5.6,1
6215,5.62,1
6220,5.59,1
6225,5.6,1
6230,5.61,1
6235,5.59,1
6240,5.59,1
6245,5.6,1
6250,5.59,1
6255,5.59,1
6260,5.6,1
6265,5.59,1
6270,5.61,1
6275,5.61,1
6280,5.6,1
6285,5.6,1
6290,5.6,1
6295,5.59,1
6300,5.57,1
6305,5.6,1
6310,5.61,1
6315,5.59,1
6320,5.6,1
6325,5.59,1
6330,5.58,1
6335,5.59,1
6340,5.57,1
6345,5.59,1
6350,5.58,1
6355,5.61,1
6360,5.59,1
6365,5.58,1
6370,5.58,1
6375,5.59,1
6380,5.6,1
6385,5.6,1
6390,5.58,1
6395,5.59,1
6400,5.6,1
6405,5.6,1
6410,5.59,1
6415,5.58,1
6420,5.58,1
6425,5.59,1
6430,5.59,1
6435,5.6,1
6440,5.6,1
6445,5.6,1
6450,5.58,1
6455,5.58,1
6460,5.57,1
6465,5.6,1
6470,5.59,1
6475,5.57,1
6480,5.6,1
6485,5.6,1
6490,5.58,1
6495,5.58,1
6500,5.59,1
6505,5.58,1
6510,5.59,1
6515,5.59,1
6520,5.6,1
6525,5.6,1
6530,5.6,1
6535,5.59,1
6540,5.58,1
6545,5.6,1
6550,5.58,1
6555,5.57,1
6560,5.58,1
6565,5.58,1
6570,5.59,1
6575,5.57,1
6580,5.59,1
6585,5.6,1
6590,5.6,1
6595,5.6,1
6600,5.59,1
6605,5.58,1
6610,5.58,1
